
2022/04/26 (18:22:32) | ===> btop++ v.1.2.6
2022/04/26 (18:22:32) | ERROR: Stall in Runner thread, restarting!

2022/07/25 (23:34:44) | ===> btop++ v.1.2.8
2022/07/25 (23:34:44) | ERROR: Stall in Runner thread, restarting!

2022/08/24 (12:35:35) | ===> btop++ v.1.2.8
2022/08/24 (12:35:35) | ERROR: Stall in Runner thread, restarting!
2022/08/24 (12:35:41) | ERROR: Stall in Runner thread, restarting!
2022/08/24 (12:35:47) | ERROR: Stall in Runner thread, restarting!
2022/08/24 (12:35:53) | ERROR: Stall in Runner thread, restarting!
2022/08/24 (12:35:59) | ERROR: Stall in Runner thread, restarting!
2022/08/24 (12:36:05) | ERROR: Stall in Runner thread, restarting!
2022/08/24 (12:36:11) | ERROR: Stall in Runner thread, restarting!

2022/08/24 (12:38:22) | ===> btop++ v.1.2.8
2022/08/24 (12:38:22) | ERROR: Stall in Runner thread, restarting!

2022/11/29 (09:59:14) | ===> btop++ v.1.2.13
2022/11/29 (09:59:15) | ERROR: Stall in Runner thread, restarting!
2022/11/29 (10:09:19) | ERROR: Runner thread died unexpectedly!

2022/12/10 (21:44:44) | ===> btop++ v.1.2.13
2022/12/10 (21:44:44) | ERROR: Stall in Runner thread, restarting!
2022/12/10 (21:44:50) | ERROR: Stall in Runner thread, restarting!

2023/04/24 (11:13:28) | ===> btop++ v.1.2.13
2023/04/24 (11:13:28) | ERROR: Stall in Runner thread, restarting!

2024/02/14 (14:51:13) | ===> btop++ v.1.3.1
2024/02/14 (14:51:13) | ERROR: Stall in Runner thread, restarting!
2024/02/14 (14:51:22) | ERROR: Stall in Runner thread, restarting!
2024/02/14 (14:51:40) | ERROR: Stall in Runner thread, restarting!
2024/02/14 (14:58:35) | ERROR: Stall in Runner thread, restarting!
2024/02/14 (14:59:26) | ERROR: Stall in Runner thread, restarting!
2024/02/14 (15:02:55) | ERROR: Stall in Runner thread, restarting!

2024/11/24 (16:45:09) | ===> btop++ v.1.4.0
2024/11/24 (16:45:09) | WARNING: Intel GPU: Failed to initialize PMU
